trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
TG1,17:23:00,17:23:00,309,190,0,0
TG1,17:25:00,17:25:00,310,191,0,0
TG1,17:27:00,17:27:00,311,192,0,0
TG1,17:29:00,17:29:00,312,193,0,0
TG1,17:32:00,17:32:00,313,194,0,0
TG1,17:34:00,17:34:00,314,195,0,0
TG1,17:36:00,17:36:00,315,196,0,0
TG1,17:39:00,17:39:00,316,197,0,0
TG1,17:41:00,17:41:00,305,198,0,0
TG1,17:50:00,18:00:00,001,199,0,0
